model,demand,epq,total_cycle,production_cycle,depletion_cycle,runs,setup,holding,total
Stacer 499 SeaMaster (2022),9,16,649,6,643,1,5000,5391.04,10391
Stacer 499 SeaMaster SE (2022),8,15,684,5,679,1,5000,5059.2,10059
Stacer 499 WildRider,16,22,502,8,494,1,5000,7360.32,12360
Stacer 499 WildRider (2022),46,38,302,14,288,1,5000,12325.679999999998,17326
Stacer 499 WildRider SE (2022),68,46,247,17,230,1,5000,14576.48,19576
Stacer 509 Assault Pro Tournament,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 519 CrossFire SC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 519 CrossFire SE Side Console (2022),13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 519 CrossFire Side Console (2022),2,8,1460,3,1457,0,0,2714.56,2715
Stacer 519 Sea Runner,13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 519 SeaMaster,2,8,1460,3,1457,0,0,2714.56,2715
Stacer 519 SeaMaster (2022),4,11,1004,4,1000,0,0,3725.04,3725
Stacer 519 SeaMaster SE (2022),4,11,1004,4,1000,0,0,3725.04,3725
Stacer 519 SeaRanger SDF Side. Console.,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 519 SeaRunner (2022),8,15,684,5,679,1,5000,5059.2,10059
Stacer 519 SeaRunner SE (2022),28,29,378,11,367,1,5000,9583.92,14584
Stacer 519 WildRider,5,12,876,4,872,0,0,4059.6,4060
Stacer 519 WildRider (2022),10,17,620,6,614,1,5000,5722.2,10722
Stacer 519 WildRider SE (2022),36,33,335,12,323,1,5000,10816.08,15816
Stacer 529 Assault Pro Tournament,5,12,876,4,872,0,0,4059.6,4060
Stacer 529 Outlaw CC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 529 Outlaw SC,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 539 CrossFire CC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 539 CrossFire Rear Console (2022),4,11,1004,4,1000,0,0,3725.04,3725
Stacer 539 CrossFire SC,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 539 CrossFire SE Side Console (2022),11,18,597,7,591,1,5000,6052.68,11053
Stacer 539 Sea Runner,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 539 SeaMaster,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 539 SeaMaster (2022),5,12,876,4,872,0,0,4059.6,4060
Stacer 539 SeaMaster SE (2022),5,12,876,4,872,0,0,4059.6,4060
Stacer 539 SeaRunner (2022),3,9,1095,3,1092,0,0,3050.82,3051
Stacer 539 SeaRunner SE (2022),13,20,562,7,554,1,5000,6711.599999999999,11712
Stacer 539 WildRider,16,22,502,8,494,1,5000,7360.32,12360
Stacer 539 WildRider (2022),4,11,1004,4,1000,0,0,3725.04,3725
Stacer 539 WildRider SE (2022),33,32,354,12,342,1,5000,10520.96,15521
Stacer 589 CrossFire Rear Console (2022),7,14,730,5,725,0,0,4726.679999999999,4727
Stacer 589 CrossFire SC XLS,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 589 CrossFire SE Rear Console (2022),2,8,1460,3,1457,0,0,2714.56,2715
Stacer 589 CrossFire SE Side Console (2022),3,9,1095,3,1092,0,0,3050.82,3051
Stacer 589 SeaMaster (2022),1,5,1825,2,1823,0,0,1698.3,1698
Stacer 589 SeaRunner (2022),1,5,1825,2,1823,0,0,1698.3,1698
Stacer 589 SeaRunner SE (2022),9,16,649,6,643,1,5000,5391.04,10391
Stacer 589 WildRider (2022),2,8,1460,3,1457,0,0,2714.56,2715
Stacer 589 WildRider SE (2022),18,23,466,8,458,1,5000,7679.24,12679
Stacer 589 WildRider XLS,4,11,1004,4,1000,0,0,3725.04,3725
Stacer 609 Ocean Ranger Hard Top SDF,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 609 Ocean Ranger SDF,5,12,876,4,872,0,0,4059.6,4060
Stacer 619 WildRider SE (2022),4,11,1004,4,1000,0,0,3725.04,3725
Stacer 619 WildRider XLS,2,8,1460,3,1457,0,0,2714.56,2715
Stacer 659 Ocean Ranger Hard Top SDF,3,9,1095,3,1092,0,0,3050.82,3051
Stacer 709 Ocean Ranger SDF,1,5,1825,2,1823,0,0,1698.3,1698
Stacer 759 Ocean Ranger Expedition HTSDF,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 5800 Cabin,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 5800 Cabin Folding HT,24,27,411,10,401,1,5000,8959.68,13960
Yellowfin 5800 Centre Cabin,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 5800 Centre Console,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 5800 Rear Console,4,11,1004,4,1000,0,0,3725.04,3725
Yellowfin 6200 Cabin,4,11,1004,4,1000,0,0,3725.04,3725
Yellowfin 6200 Cabin Folding HT,13,20,562,7,554,1,5000,6711.599999999999,11712
Yellowfin 6200 Centre Cabin,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 6200 Centre Console,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 6200 Hard Top Cabin,5,12,876,4,872,0,0,4059.6,4060
Yellowfin 6200 Rear Console,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 6500 Cabin,3,9,1095,3,1092,0,0,3050.82,3051
Yellowfin 6500 Cabin Folding HT,9,16,649,6,643,1,5000,5391.04,10391
Yellowfin 6500 Centre Cabin,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 6500 Hard Top Cabin,3,9,1095,3,1092,0,0,3050.82,3051
Yellowfin 6500 Rear Console,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 7000 Cabin,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 7000 Centre Cabin,5,12,876,4,872,0,0,4059.6,4060
Yellowfin 7000 Rear Console,2,8,1460,3,1457,0,0,2714.56,2715
Yellowfin 7000 Southerner HT ,55,41,272,15,257,1,5000,13173.3,18173
Yellowfin 7600 Centre Cabin,1,5,1825,2,1823,0,0,1698.3,1698
Yellowfin 7600 Southerner HT,49,39,291,14,276,1,5000,12610.26,17610
Yellowfin 7600 Southerner HT Twin Pod,3,9,1095,3,1092,0,0,3050.82,3051
